total,SD,WM,not SD,not WM,both,neither,timestep
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6555.5,2622.2,1873.0,8740.666666666668,9989.333333333332,1873.0,12174.5,15
6065.666666666667,4276.714285714285,1761.0,8218.0,11006.25,2113.2,12327.0,20
5399.172413793103,3410.272727272727,3093.2758620689656,5096.875,7430.11111111111,3506.6499999999996,8854.0,25
4292.4,1393.6363636363637,1277.5,4034.2105263157896,5503.076923076923,1241.0,5972.727272727273,30
3006.5454545454545,1087.3548387096776,1020.9473684210527,2798.4,4179.428571428572,981.8947368421052,4770.0,35
2630.25641025641,1145.5479452054797,977.3456790123457,2531.979166666667,3149.875,1115.0,4413.541666666667,40
2199.082474226804,1094.4742268041236,877.6785714285714,1700.7460317460318,2396.0625,1018.9634146341464,2800.060606060606,45
1969.0000000000002,669.5333333333333,554.9607843137254,1664.016129032258,2136.42,511.28000000000003,2425.9714285714285,50
1811.3333333333335,531.5869565217391,449.0467289719626,1330.7755102040817,1943.1176470588234,493.34999999999997,2574.0,55
1243.5333333333335,199.97260273972603,178.02439024390245,688.1212121212121,946.1666666666667,183.1290322580645,1497.2307692307693,60
1605.5172413793105,454.24390243902434,437.7435897435897,1396.8,1340.3636363636365,413.8666666666667,2116.363636363636,65
1476.5833333333333,406.0,427.26666666666665,1244.1,1413.75,445.54545454545456,1822.1666666666665,70
1065.7142857142858,213.14285714285714,200.84615384615384,696.2666666666667,969.8000000000001,165.77777777777777,1172.2857142857142,75
1304.888888888889,244.66666666666666,285.44444444444446,1223.3333333333335,1101.0,275.25,1651.5,80
1452.0,272.25,145.20000000000002,605.0,1089.0,0.0,1089.0,85
1077.0,179.5,0.0,478.66666666666663,718.0,0.0,718.0,90
1225.7142857142856,510.7142857142857,510.7142857142857,1251.25,1251.25,510.7142857142857,1251.25,95
1190.0,178.5,178.5,952.0,952.0,238.0,1428.0,100
1071.0,428.4,428.4,0.0,0.0,535.5,1428.0,105
714.0,357.0,357.0,0.0,0.0,357.0,1428.0,110
