total,SD,WM,not SD,not WM,both,neither,timestep
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
3.5,1.4,1.0,4.666666666666667,5.333333333333333,1.0,6.5,15
3.4444444444444446,2.4285714285714284,1.0,4.666666666666667,6.25,1.2,7.0,20
3.310344827586207,2.090909090909091,1.896551724137931,3.125,4.555555555555555,2.15,5.428571428571429,25
2.94,0.9545454545454546,0.875,2.763157894736842,3.769230769230769,0.85,4.090909090909091,30
2.3636363636363638,0.8548387096774194,0.8026315789473685,2.2,3.2857142857142856,0.7719298245614035,3.75,35
2.358974358974359,1.0273972602739727,0.8765432098765432,2.2708333333333335,2.825,1.0,3.9583333333333335,40
2.2371134020618557,1.1134020618556701,0.8928571428571429,1.7301587301587302,2.4375,1.0365853658536586,2.8484848484848486,45
2.1566265060240966,0.7333333333333333,0.6078431372549019,1.8225806451612903,2.34,0.56,2.657142857142857,50
2.111111111111111,0.6195652173913043,0.5233644859813084,1.5510204081632653,2.264705882352941,0.575,3.0,55
1.5333333333333334,0.2465753424657534,0.21951219512195122,0.8484848484848485,1.1666666666666667,0.22580645161290322,1.8461538461538463,60
2.0689655172413794,0.5853658536585366,0.5641025641025641,1.8,1.7272727272727273,0.5333333333333333,2.727272727272727,65
1.9583333333333333,0.5384615384615384,0.5666666666666667,1.65,1.875,0.5909090909090909,2.4166666666666665,70
1.4285714285714286,0.2857142857142857,0.2692307692307692,0.9333333333333333,1.3,0.2222222222222222,1.5714285714285714,75
1.7777777777777777,0.3333333333333333,0.3888888888888889,1.6666666666666667,1.5,0.375,2.25,80
2.0,0.375,0.2,0.8333333333333334,1.5,0.0,1.5,85
1.5,0.25,0.0,0.6666666666666666,1.0,0.0,1.0,90
1.7142857142857142,0.7142857142857143,0.7142857142857143,1.75,1.75,0.7142857142857143,1.75,95
1.6666666666666667,0.25,0.25,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.0,100
1.5,0.6,0.6,0.0,0.0,0.75,2.0,105
1.0,0.5,0.5,0.0,0.0,0.5,2.0,110
