S,I,R,WM,SD,death,mild,severe,asymptomatic,timestep
1654,14,293,1355,1292,0,2,2,5,137
1653,14,294,1354,1292,0,4,1,5,138
1653,14,294,1354,1293,0,4,2,6,139
1652,13,295,1353,1291,1,3,1,6,140
1649,14,296,1352,1290,1,2,1,5,141
1649,12,298,1352,1291,0,2,2,3,142
1649,12,298,1352,1291,0,2,2,4,143
1648,11,300,1353,1291,0,3,2,2,144
1648,10,300,1352,1290,1,3,1,2,145
1647,10,301,1352,1290,0,3,1,2,146
1646,11,301,1353,1291,0,4,2,2,147
1646,10,302,1353,1291,0,4,2,1,148
1646,9,303,1353,1290,0,4,1,1,149
1646,8,304,1353,1289,0,3,2,1,150
1646,8,304,1354,1290,0,4,2,1,151
1646,7,305,1354,1290,0,4,2,1,152
1646,7,305,1354,1290,0,3,3,1,153
1645,7,306,1353,1290,0,3,2,1,154
1645,4,309,1352,1289,0,1,1,1,155
1643,5,309,1351,1288,1,1,0,1,156
1643,5,309,1351,1288,0,1,0,1,157
1643,4,310,1352,1289,0,1,0,1,158
1643,4,310,1352,1289,0,1,0,1,159
1643,4,310,1352,1289,0,1,0,2,160
1643,3,311,1352,1289,0,1,0,1,161
1643,3,311,1352,1289,0,0,1,2,162
1643,3,311,1352,1289,0,0,1,2,163
1643,3,311,1352,1289,0,0,1,2,164
1643,2,311,1351,1288,1,0,0,2,165
1643,2,311,1351,1288,0,0,0,2,166
1643,2,311,1351,1288,0,0,0,2,167
1643,2,311,1351,1288,0,0,0,2,168
1643,2,311,1351,1288,0,0,0,2,169
1643,0,313,1351,1288,0,0,0,0,170
