total,SD,WM,not SD,not WM,both,neither,timestep
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4.0,3.3333333333333335,1.3333333333333333,2.0,8.0,1.0,0.0,15
4.363636363636363,1.6,1.5714285714285714,5.0,6.166666666666667,1.6,6.166666666666667,20
3.0930232558139537,1.76,1.8461538461538463,3.1785714285714284,3.1481481481481484,1.8695652173913044,3.36,25
2.391891891891892,1.3,1.3013698630136987,2.2051282051282053,2.2777777777777777,1.3709677419354838,2.7142857142857144,30
2.3626373626373627,1.0,1.0138888888888888,2.041095890410959,2.1194029850746268,1.05,2.278688524590164,35
2.596330275229358,1.1379310344827587,1.0769230769230769,2.067415730337079,2.176470588235294,1.1917808219178083,2.436619718309859,40
2.2569444444444446,1.023076923076923,1.007462686567164,1.8113207547169812,1.8627450980392157,1.0782608695652174,2.0804597701149423,45
2.2162162162162162,0.8874172185430463,0.8986486486486487,1.6581196581196582,1.625,0.905511811023622,1.8333333333333333,50
1.8161764705882353,0.8098591549295775,0.7851851851851852,1.2,1.205128205128205,0.8050847457627118,1.3010752688172043,55
1.8148148148148149,0.6181818181818182,0.5714285714285714,1.0533333333333332,1.1369863013698631,0.6276595744680851,1.2982456140350878,60
1.9230769230769231,0.44155844155844154,0.4868421052631579,1.3666666666666667,1.2258064516129032,0.4782608695652174,1.608695652173913,65
1.6875,0.20588235294117646,0.21875,0.7407407407407407,0.6896551724137931,0.2222222222222222,0.8636363636363636,70
1.0,0.07142857142857142,0.0,0.07692307692307693,0.16666666666666666,0.0,0.125,75
1.0,0.0,0.0,0.0,0.0,0.0,0.0,80
