total,SD,WM,not SD,not WM,both,neither,timestep
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7312.0,6093.333333333334,2437.333333333333,3656.0,14624.0,1828.0,0.0,15
7261.090909090908,2662.4,2614.8571428571427,8320.0,10261.333333333334,2662.4,10261.333333333334,20
4599.325581395349,2617.12,2745.2307692307695,4726.535714285714,4681.2962962962965,2780.0434782608695,4996.32,25
2963.554054054054,1610.7,1612.3972602739727,2732.153846153846,2822.1666666666665,1698.6290322580644,3363.0,30
2220.879120879121,940.0,953.0555555555555,1918.6301369863015,1992.238805970149,987.0,2141.967213114754,35
1708.3853211009175,748.7586206896552,708.6153846153845,1360.359550561798,1432.1176470588234,784.1917808219179,1603.2957746478871,40
947.9166666666667,429.6923076923077,423.1343283582089,760.7547169811321,782.3529411764706,452.8695652173913,873.7931034482758,45
618.3243243243244,247.58940397350992,250.722972972973,462.61538461538464,453.375,252.63779527559055,511.5,50
352.3382352941176,157.11267605633805,152.32592592592593,232.79999999999998,233.7948717948718,156.1864406779661,252.40860215053763,55
295.81481481481484,100.76363636363637,93.14285714285714,171.69333333333333,185.3287671232877,102.30851063829786,211.61403508771932,60
296.1538461538462,68.0,74.97368421052632,210.46666666666667,188.7741935483871,73.65217391304348,247.73913043478262,65
256.5,31.294117647058822,33.25,112.59259259259258,104.82758620689656,33.77777777777778,131.27272727272728,70
152.0,10.857142857142856,0.0,11.692307692307693,25.333333333333332,0.0,19.0,75
152.0,0.0,0.0,0.0,0.0,0.0,0.0,80
