total,SD,WM,not SD,not WM,both,neither,timestep
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
1.25,0.6,0.5,0.5,2.0,0.5,0.0,15
1.5,0.6,0.5,0.0,2.0,0.6,0.0,20
2.0,1.75,1.3333333333333333,0.5,2.0,1.75,0.0,25
2.4444444444444446,1.5,1.25,7.0,4.0,1.25,7.0,30
2.6666666666666665,0.2857142857142857,0.6666666666666666,2.3333333333333335,8.0,0.2857142857142857,8.0,35
1.2,0.35714285714285715,0.26666666666666666,0.5,2.0,0.23076923076923078,8.0,40
1.2,1.3333333333333333,0.8333333333333334,0.5,1.0,1.3333333333333333,1.0,45
1.2,0.0,0.0,0.0,1.0,0.0,1.0,50
